name,ring,quadrant,isNew,description
Apollo,Adopt,Languages and Frameworks,FALSE,
Appium,Adopt,Languages and Frameworks,FALSE,
ArgoCD,Adopt,Tools,FALSE,
AWS ACM,Adopt,Tools,TRUE,
AWS Appsync,Adopt,Tools,FALSE,
AWS Batch,Adopt,Tools,FALSE,
AWS DynamoDB,Adopt,Tools,FALSE,
AWS EC2,Adopt,Platforms,FALSE,
AWS Kinesis,Adopt,Tools,FALSE,
AWS Lambda,Adopt,Platforms,FALSE,
AWS MSK,Adopt,Platforms,TRUE,
AWS Opensearch,Adopt,Tools,TRUE,
AWS RDS,Adopt,Platforms,FALSE,
AWS SES,Adopt,Tools,FALSE,
AWS SQS,Adopt,Tools,FALSE,
AWS Step Functions,Adopt,Tools,FALSE,
Certmanager,Adopt,Tools,FALSE,
Chaos Engineering,Assess,Techniques,FALSE,
CircleCI,Deprecate,Tools,TRUE,
Cypress,Adopt,Languages and Frameworks,FALSE,
Datadog,Adopt,Tools,FALSE,
Datadog RUM,Trial,Tools,TRUE,
Django,Deprecate,Languages and Frameworks,FALSE,
Docker,Adopt,Platforms,FALSE,
ExternalDNS,Adopt,Tools,FALSE,
Feature Flagging,Adopt,Techniques,FALSE,
Flutter,Adopt,Languages and Frameworks,TRUE,
Gitlab,Adopt,Tools,TRUE,
Go,Assess,Languages and Frameworks,TRUE,
GraphQL,Adopt,Languages and Frameworks,FALSE,
Helm,Adopt,Tools,FALSE,
Javascript,Adopt,Languages and Frameworks,FALSE,
JMeter,Adopt,Languages and Frameworks,FALSE,
Kanban,Adopt,Techniques,FALSE,
Kong API Gateway,Adopt,Tools,TRUE,
Kubernetes,Adopt,Platforms,FALSE,
Launchdarkly,Adopt,Tools,FALSE,
Looker,Adopt,Tools,FALSE,
Micro Frontends,Adopt,Techniques,FALSE,
Microservice Architecture,Adopt,Techniques,FALSE,
Monolithic Architecture,Deprecate,Techniques,FALSE,
PACT,Adopt,Languages and Frameworks,FALSE,
PostgreSQL,Adopt,Tools,FALSE,
Python,Adopt,Languages and Frameworks,FALSE,
React,Adopt,Languages and Frameworks,FALSE,
React Native,Deprecate,Languages and Frameworks,TRUE,
Redshift,Adopt,Platforms,FALSE,
Rust,Assess,Languages and Frameworks,TRUE,
Scrum,Adopt,Techniques,FALSE,
Sentry,Deprecate,Tools,TRUE,
Serverless Architecture,Adopt,Techniques,FALSE,
Serverless Framework,Adopt,Languages and Frameworks,FALSE,
Sonarqube,Adopt,Tools,FALSE,
Styled Components,Adopt,Languages and Frameworks,FALSE,
Terraform,Adopt,Tools,FALSE,
Trunk-Based Development,Adopt,Techniques,FALSE,
Typescript,Adopt,Languages and Frameworks,FALSE,